REFERENCIA|DESCRIPCION|MATERIAL / FABRICANTE|FECHA | COSTO | PRECIO |12|50|100|300|500|1000
Q009NDF|Chaqueta GM Mangas Abatibles, acolchada cuello alpinista, tapacremallera, bolsillos de ribete  diagonales, diseño con costuras horizontales, forro en Fleece, broches metálicos (Tallas XS a XL)|Nylon Dull||$48.000|$96.000||||||
Q009T|Chaqueta GM acolchada cuello alpinista, tapacremallera, bolsillos de ribete  diagonales, diseño con costuras horizontales, forro en fleece, broches metálicos (Tallas XS a XL) capota y guarda capota |Bases Lafayette||$47.500|$95.000|$92.150|$90.250|$85.500|$80.750|$76.000|$71.250
Q009TF|Chaqueta acolchada cuello alpinista bolsillos de ribete diagonales y mangas abatibles con cremallera (Tallas XS a XL), forro en seda 1 bordado en pecho,1 en espalda|Tempestad||$52.000|$104.000|$100.880|$98.800|$93.600|$88.400|$83.200|$78.000
Q009TMA|Chaqueta GM Mangas Abatibles, acolchada cuello alpinista, tapacremallera, bolsillos de ribete  diagonales, diseño con costuras horizontales, forro en seda, broches metálicos (Tallas XS a XL)|Bases Lafayette||$55.100|$110.200|$106.894|$104.690|$99.180|$93.670|$88.160|$82.650
Q009Z|Chaqueta acolchada cuello alpinista bolsillos de fuelle y mangas abatibles con cremallera (Tallas XS a XL)|Vendaval laffayette||$40.000|$80.000|$77.600|$76.000|$72.000|$68.000|$64.000|$60.000
Q009Z1|Chaqueta acolchada cuello alpinista bolsillos de ribete diagonales y mangas abatibles con cremallera (Tallas XS a XL)|Tempestad||$54.000|$108.000||||||
Q009ZCFC|Chaqueta RD acolchada cuello alpinista, Capota y guardacapota, Forro flecce, bolsillos de ribete diagonales y mangas abatibles con cremallera. Media pretina y puños resortados, Tapacremallera delgado y broches en tapacremallera (Tallas XS a XL) Bordado Seguridad Privada, Bordado en Pecho y en Manga|Vendaval laffayette||$51.280|$102.560|$99.483|$97.432|$92.304|$87.176|$82.048|$76.920
Q009ZFC|Chaqueta RD acolchada cuello alpinista, Capota y guardacapota, Forro flecce, bolsillos de ribete diagonales y mangas abatibles con cremallera. Media pretina y puños resortados, Tapacremallera delgado y broches en tapacremallera (Tallas XS a XL) con reflectivo en mangas|Vendaval Importado||$41.080|$82.160|$79.695|$78.052|$73.944|$69.836|$65.728|$61.620
Q010E_1|Chaqueta Apolo, acolchada bicolor, cuello alpinista con capota y guarda capota, forro Seda Reflectivo 2 Clase I (Tallas XS a XL)|Serrosport|30/06/2015|$35.000|$70.000|$67.900|$66.500|$63.000|$59.500|$56.000|$52.500
Q010OR_13|Chaqueta Apolo, acolchada bicolor, cuello alpinista con capota y guarda capota forro térmico (Tallas XS a XL)|Orión lafayette|30/06/2015|$48.000|$96.000|$93.120|$91.200|$86.400|$81.600|$76.800|$72.000
Q010OR1_13|Chaqueta Apolo, acolchada bicolor, cuello alpinista con capota y guarda capota, forro térmico Reflectivo 2 Clase I (Tallas XS a XL)|Orión lafayette|30/06/2015|$50.000|$100.000|$97.000|$95.000|$90.000|$85.000|$80.000|$75.000
Q011E|Chaqueta Apolo, acolchada bicolor, cuello alpinista con capota y guarda capota, forro seda Mangas abatibles (Tallas XS a XL)|Serrosport|30/06/2015|$35.500|$71.000|$68.870|$67.450|$63.900|$60.350|$56.800|$53.250
Q011E_15|Chaqueta Apolo Doble Faz acolchada bicolor, cuello alpinista con capota y guarda capota, forro seda Mangas abatibles Reflectivo 2 en un lado (Tallas XS a XL)|Serrosport|30/06/2015|$44.800|$89.600|$86.912|$85.120|$80.640|$76.160|$71.680|$67.200
Q011OR|Chaqueta Apolo, acolchada bicolor, cuello alpinista con capota y guarda capota, forro seda Mangas abatibles (Tallas XS a XL)|Orión|30/06/2015|$43.500|$87.000|$84.390|$82.650|$78.300|$73.950|$69.600|$65.250
Q011OR_13|Chaqueta Apolo, acolchada bicolor, cuello alpinista con capota y guarda capota, forro térmico Mangas abatibles (Tallas XS a XL)|Orión|30/06/2015|$49.800|$99.600|$96.612|$94.620|$89.640|$84.660|$79.680|$74.700
Q011OR_3|Chaqueta Apolo, acolchada bicolor, cuello alpinista, forro térmico,Tapa cremallera broches metalico, Reflectivo 2 Clase Ill en H (Tallas XS a XL)|serrosport|30/06/2015|$47.500|$95.000||||||
Q011OR_15|Chaqueta Apolo Doble Faz acolchada bicolor, cuello alpinista con capota y guarda capota, forro seda Mangas abatibles Reflectivo 2 en un lado (Tallas XS a XL)|Orión|30/06/2015|$66.250|$132.500|$128.525|$125.875|$119.250|$112.625|$106.000|$99.375
Q011OR1_13|Chaqueta Apolo, acolchada bicolor, cuello alpinista con capota y guarda capota, forro térmico Reflectivo 2 Clase I  Mangas abatibles (Tallas XS a XL)|Orión|30/06/2015|$47.500|$95.000|$92.150|$90.250|$85.500|$80.750|$76.000|$71.250
Q011Z|Chaqueta Apolo Doble Faz acolchada bicolor, cuello alpinista con capota y guarda capota, forro seda Mangas abatibles Reflectivo 2 en un lado (Tallas XS a XL)|Vendaval|01/07/2015|$45.500|$91.000|$88.270|$86.450|$81.900|$77.350|$72.800|$68.250
Q012|Chaqueta Europa Tipo Oficina cuello alpinista, cremallera frontal bolsillo de ribete diagonal fremallera diagonal en pecho y en manga. Dama o caballero|Novastretch lafayette||$40.846|$81.692|$79.241|$77.607|$73.523|$69.438|$65.354|$61.269
Q013|Chaqueta Urano Tipo Oficina cuello alpinista, capota removible, cremallera frontal bolsillo de ribete diagonal, puño y prenita, Forro a un tono, Dama o caballero|Serrosport||$32.000|$64.000|$62.080|$60.800|$57.600|$54.400|$51.200|$48.000
Q013BG|Chaqueta Urano Tipo Oficina cuello alpinista, capota removible, cremallera frontal bolsillo de ribete diagonal, puño y prenita, Forro a Rayas, Dama o caballero|Serrosport / Nylon Dull||$32.155|$64.310|$62.381|$61.095|$57.879|$54.664|$51.448|$48.233
Q013OR|Chaqueta Urano Tipo Oficina cuello alpinista, capota removible, cremallera frontal bolsillo de ribete diagonal, puño y prenita, Forro a Rayas, Dama o caballero|Orion||$42.400|$84.800|$82.256|$80.560|$76.320|$72.080|$67.840|$63.600
Q014|Chaqueta Dike Tipo Oficina cuello alpinista,cremallera frontal bolsillo diagonal con cremallera y bolsillo pecho con cremallera Dama o caballero|Universal||$35.901|$71.802|$69.648|$68.212|$64.622|$61.032|$57.442|$53.852
Q015I|Chaqueta tipo Brigadista Full Mangas Abatibles (Tallas XS a XL)|Impermeable|14/05/2015|$49.000|$98.000|$95.060|$93.100|$88.200|$83.300|$78.400|$73.500
Q016E|Chaqueta rompevientos para promoción 2 bolsillos (Tallas XS a XL)|Serrosport||$19.000|$38.000|$36.860|$36.100|$34.200|$32.300|$30.400|$28.500
Q016L|Chaqueta rompevientos para promoción 2 bolsillos (Tallas XS a XL)|Linoflex||$13.500|$27.000|$26.190|$25.650|$24.300|$22.950|$21.600|$20.250
Q016N|Chaqueta rompevientos dos cintas reflectivas 2 en contorno  2 bolsillos (Tallas XS a XL)|Nautica||$24.440|$48.880|$47.414|$46.436|$43.992|$41.548|$39.104|$36.660
Q016V|Chaqueta rompevientos para promoción 2 bolsillos (Tallas XS a XL)|Antifluidos||$18.000|$36.000|$34.920|$34.200|$32.400|$30.600|$28.800|$27.000
Q017D|Chaqueta tipo levis (Tallas XS a XL)|Dril||$27.000|$54.000|$52.380|$51.300|$48.600|$45.900|$43.200|$40.500
Q017DMA|Chaqueta tipo levis, mangas abatibles  (Tallas XS a XL)|Dril||$20.700|$41.400|$40.158|$39.330|$37.260|$35.190|$33.120|$31.050
Q017H|Chaqueta tipo levis (Tallas XS a XL)|Indigo 14 Oz||$20.690|$41.379|$40.138|$39.310|$37.241|$35.172|$33.103|$31.034
Q017H_1|Chaqueta tipo levis (Tallas XS a XL) reflectivo |Indigo 14 Oz||$24.000|$48.000||||||
Q017HI|Chaqueta tipo levis Ingeniero (Tallas XS a XL)|Indigo 14 Oz||$21.552|$43.103|$41.810|$40.948|$38.793|$36.638|$34.483|$32.328
Q017HN|Chaqueta tipo levis (Tallas XS a XL) |Indigo 14 Oz Color Negro|14/05/2015|$24.000|$40.000|$38.800|$38.000|$36.000|$34.000|$32.000|$30.000
Q018H|Chaqueta tipo levis dieléctrica (Tallas XS a XL)|Indigo 14 Oz||$24.000|$48.000|$46.560|$45.600|$43.200|$40.800|$38.400|$36.000
Q019I|Chaqueta acolchada cuello alpinista con bolsillos de seguridad tipo mensajero (Tallas XS a XL)|Impermeable ||$22.500|$45.000|$43.650|$42.750|$40.500|$38.250|$36.000|$33.750
Q020AP|Chaqueta tipo sudadera dos bolsillos, puños y prerina resortados (Tallas XS a XL)|Algodón Perchado||$24.500|$49.000|$47.530|$46.550|$44.100|$41.650|$39.200|$36.750
Q020APDF|Chaqueta tipo sudadera dos bolsillos, puños y prerina resortados (Tallas XS a XL) 3 LOGOS TAMAÑO PECHO|Algodón Perchado||$28.400|$56.800|$55.096|$53.960|$51.120|$48.280|$45.440|$42.600
Q021I|Chaqueta forrada en malla con cuello y capota 2 bolsillos (Tallas XS a XL)|Impermeable ||$21.000|$42.000|$40.740|$39.900|$37.800|$35.700|$33.600|$31.500
Q021Z|Chaqueta forrada en malla con cuello y capota 2 bolsillos (Tallas XS a XL)|Vendaval||$34.500|$69.000|$66.930|$65.550|$62.100|$58.650|$55.200|$51.750
Q022E|Chaqueta acolchada cuello alpinista, forro en flece bolsillos de ribete diagonales con cremallera  (Tallas XS a XL), , bordado SEGURIDAD PRIVADA tamaño espalda|Serrosport||$31.100|$62.200|$60.334|$59.090|$55.980|$52.870|$49.760|$46.650
Q022U| Chaqueta acolchada cuello alpinista, forro en flece bolsillos de ribete diagonales con cremallera  (Tallas XS a XL), |Universal||$44.200|$88.400|$85.748|$83.980|$79.560|$75.140|$70.720|$66.300
Q023E|Chaqueta Hera, doble faz, tapacremalleras anchos, puños y pretina en Rib|Serrosport||| $ -   | $ -   | $ -   | $ -   | $ -   | $ -   | $ -
Q024Z|Chaqueta Plutón Impermeable Cuello Doble, Alpinista Sistema de Capota Fija,  Rib en Cuello y Puños. Forro en malla.  (Tallas XS a XL)|Vendaval Liso|24/06/2015|$55.000|$110.000|$106.700|$104.500|$99.000|$93.500|$88.000|$82.500
Q024Z_13|Chaqueta Plutón Impermeable Cuello Doble, Alpinista Sistema de Capota Fija,  Rib en Cuello y Puños, Tapa  Cremallera. Térmica Forro Fleece y guata 200. Reflectivo Clase I (Tallas XS a XL)|Vendaval Liso|09/03/2016|$60.000|$120.000|$116.400|$114.000|$108.000|$102.000|$96.000|$90.000
Q024E|Chaqueta Plutón Impermeable Cuello Doble, Alpinista Sistema de Capota Fija,  Rib en Cuello y Puños. Forro en malla.  (Tallas XS a XL)|Serrosport|24/06/2015|$42.500|$85.000|$82.450|$80.750|$76.500|$72.250|$68.000|$63.750
Q024E_13|Chaqueta Plutón Impermeable Cuello Doble, Alpinista Sistema de Capota Fija,  Rib en Cuello y Puños. Térmica Forro Fleece y guata 200  (Tallas XS a XL)|Serrosport|24/06/2015|$49.000|$98.000|$95.060|$93.100|$88.200|$83.300|$78.400|$73.500
Q025E|Chaqueta Deportivo bolsillo dos colores|Serrosport||| $ -   | $ -   | $ -   | $ -   | $ -   | $ -   | $ -
Q026A|Blazer Informal dama o caballero botón sencillo frontal, con parches en codo (Tallas XS a XL)|Garota||$70.000|$140.000|$135.800|$133.000|$126.000|$119.000|$112.000|$105.000
Q027CF|Chaqueta  Cuatro Bolsillos estilo elegante|Confort flex||| $ -   | $ -   | $ -   | $ -   | $ -   | $ -   | $ -
Q027NS|Chaqueta  Cuatro Bolsillos estilo elegante|Novastretch lafayette||$104.000|$208.000|$201.760|$197.600|$187.200|$176.800|$166.400|$156.000
Q028A|Abrigo formal para hombre cierre cremallera y tapacremallera con Botones, forrado en seda (Tallas XS a XL)|Gabardina ||$67.600|$135.200||||||
Q028PN|Abrigo formal para dama cierre con ocho botones, forrado en seda (Tallas XS a XL)|Paño||$120.000|$240.000|$232.800|$228.000|$216.000|$204.000|$192.000|$180.000
Q029EFC|Chaqueta Eagle sin capota, sin acolchar, con cremelleras en bolsillos forro Fleece térmico. Mangas Abatibles (Tallas XS a XL)|Serrosport / Fleece ||| $ -   ||||||
Q029I|Chaqueta Eagle sin capota, con cremelleras en bolsillos forro seda poliester (Tallas XS a XL)|Impermeable||| $ -   ||||||
Q030I|Chaqueta Arcadian Bicolor, cremallera frontal, sin capota diseño masculino y femenino (Tallas XS a XL)|Impermeable||$24.500|$49.000||||||
Q031|Chaqueta cuello alpinista, cremallera frontal de plástico y tapacremallera con broches, forro en malla, bolsillo de ribete con cremallera, pretina con cordon|Microrpince lafayette||$50.077|$100.154||||||
Q031_15|Chaqueta acolchada DOBLE FAZ cuello alpinista, MANAGAS ABATIBLES cremallera frontal y tapacremallera, , bolsillo de ribete con cremallera y bolsillo invisible en pecho|Orion Croushed||$49.500|$99.000||||||
Q031E|Chaqueta acolchada DOBLE FAZ cuello alpinista, MANAGAS ABATIBLES cremallera frontal y tapacremallera, , bolsillo de ribete con cremallera yLogo tamaño pecho|Serrosport||$40.000|$80.000||||||
Q032|Chaqueta Blazer Andrew tipo oficina sin acolchar cierre doble botones (Talla XS a XL)|Bases Lafayette||$100.000|$200.000||||||
Q033|CHAQUETA EN CARNAZA TIPO SOLDADOR |CARNAZA ||$70.000|$140.000||||||
Q034E|Chaqueta LX cuello alpinista interno con cremallera, 2 colores capota,  bolsillos de seguridad, y cremalleras verticales en las mangas. Puño, con ajuste en velcro. Tapacremallera delgado|Serrosport||$39.300|$78.600||||||
Q034ER1|Chaqueta LX MANGAS ABATIBLES cuello alpinista interno con cremallera, 2 colores capota,  bolsillos de seguridad, y cremalleras verticales en las mangas. Puño, con ajuste en velcro. Tapacremallera delgado, 2 cintas reflectivas en tela de 1  en la espalda|serrosport||$45.300|$90.600||||||
Q034T|Chaqueta LX cuello alpinista interno con cremallera, capota, guardacapota  bolsillos de seguridad, y cremalleras verticales en las mangas. Puño, con ajuste en velcro. Tapacremallera delgado|Orion de lafayette||$59.300|$118.600||||||
Q035CP|Chaqueta Térmica cuello alpinista, Guata prensada, Forro Flecce. cremallera frontal y tapacremallera, sin capota, bolsillos diagonales de ribete y de seguridad, Puño, con ajuste en velcro|Campero de lafayette||$47.000|$94.000||||||
Q036DGP|Chaqueta Acolchada cuello alpinista, Guata prensada, Forro seda cremallera frontal dos bolsillos delanteros con cremallera y bolsillo interno|Dril ||$47.000|$94.000||||||
Q037T|Chaqueta  deportiva dos colores tipo adidas (Talla XS a XL)|Vendaval Croushed - orion - Universal|06/04/2015|$59.600|$119.200||||||
Q037I|Chaqueta  deportiva dos colores tipo adidas (Talla XS a XL)|Impermeable|17/04/2015|$39.600|$79.200||||||
Q038I|Chaqueta doble faz con cinta reflectiva en espalda y brazos, con refuerzos en codos, con bolsillos de ribete diagonal y cierre en cremallera (Talla XS a XL)|Impermeable|13/04/2015|$36.800|$73.600||||||
Q039OR|Chaqueta cuello  alpinista con cierre en charretera con velcro, tapacremallera delgado, corte diseño motorizado, con o sin embone. (en corte de hombres, corte vertical den la manga y bolsillos y pretina), bolsillos de ribete diagonal. Costura en cuadrícula|Orión lafayette||$55.000|$110.000|$106.700|$104.500|$99.000|$93.500|$88.000|$82.500
Q040E|Chaqueta para motociclista PUMA guata prensada y acolche en cuadros  (Tallas XS a XL)|Serrosport|20/06/2015|$45.000|$90.000|$87.300|$85.500|$81.000|$76.500|$72.000|$67.500
Q041OR|Chaqueta rompe viento con forro en malla, cuello alpinista capota y guarda capota con cierre en cremallera 2 bolsillos externos parte inferior frontal con cierre con cremallera invisible, sistema de respiración en espalda con cierre mediante velcro (Tallas XS a XL).|Orión lafayette|23/06/2015|$35.000|$70.000|$67.900|$66.500|$63.000|$59.500|$56.000|$52.500
Q042FC|Chaqueta cuello tortuga, corte de hombro a sisa, cremallera rontal y bolsillo interno|Flecce|13/07/2015|$23.000|$46.000|$44.620|$43.700|$41.400|$39.100|$36.800|$34.500
Q043E|Chaqueta tipo periodista acolchada, cuello alpinista 8 bolsillos. 2 bolsillos superiores de fuelle, 2 bolsillos internos horizontales con cremallera. 2 bolsillos inferiores de fuelle cada uno con un bolsillo sobrepuesto de fuelle. Reflectivo PVC, ubicacion tipo IDU (2 en espalda  y una en hombros)|Boston|02/09/2015|$42.500|$85.000|$82.450|$80.750|$76.500|$72.250|$68.000|$63.750
Q044I|Chaqueta tipol Field jacket, cuello alpinista, con tapacremallera con botones. Sin acolche, con charreteras en pretina posterior. Bolsillos de ribete de seguridad horizontales.|Impermeable|04/09/2015|$45.000|$90.000|$87.300|$85.500|$81.000|$76.500|$72.000|$67.500
Q045OR|Chaqueta cuello formal con corte en manga y espalda. Pestaña en la cremallera frontal, bolsillos de rivere y frontal con cremallera. Cremalleras metalicas color bronce, Forro con diseño|Orion de lafayette|18/11/2015|$59.000|$118.000|$114.460|$112.100|$106.200|$100.300|$94.400|$88.500
Q046I|Chaqueta rompevientos convertible en bolso |Impermeable|16/12/2015|$18.500|$37.000|$35.890|$35.150|$33.300|$31.450|$29.600|$27.750
Q047E|Chaqueta Doble Faz Bicolor Mangas Abatibles con Cremallera cuello alpinista. Faz Impermeable de 8 bolsillos con tapas y cremalleras. Faz Térmico en Fleece peinado resistencia anti motas. (Tallas XS a XL)|Boston y Fleece|02/02/2016|$62.500|$125.000|$121.250|$118.750|$112.500|$106.250|$100.000|$93.750
CHAQUETAS|PERSONALIZADAS  ( Q900  a  Q999 )||||||||||
Q901E|Chaqueta impermeable forrada  acolchada, capota y guardacapota, Mangas Abatibles, 4 bolsillos  frontales de fuelle, y dos bolsillsos frontales horizontales con cremallera. Bolsillo interno en solapa vertical con cremallera, y bolsillo horizontal en la espaldea, con cremallera. |Serrosport||$35.000|$70.000|$67.900|$66.500|$63.000|$59.500|$56.000|$52.500
Q901T|Chaqueta Mangas Abatibles, antifluido 2 colores cuello alpinista capota removible con cremallera, forro flecce, tapacremallera con broche, 2 bolsillos inferiores tipo parche con tapa y broche y bolsillo interno, logo alcaldia de funza en pecho izqquierdo y logo pecho derecho|Antifluidos||$42.000|$84.000||||||
Q901ZC|Chaqueta impermeable forrada súper acolchada bordada pecho y espalda GCS - ALFA|Vendaval Crushed||$30.950|$61.900|$60.043|$58.805|$55.710|$52.615|$49.520|$46.425
Q902Z|Chaqueta acolchada cuello alpinista con tapa cremallera logo bordado Eince|Vendaval||$32.500|$65.000|$63.050|$61.750|$58.500|$55.250|$52.000|$48.750
Q903Z|Chaqueta tipo piloto cuello camisero acolchada impermeable Bordado pecho logo Eince|Vendaval||$29.000|$58.000|$56.260|$55.100|$52.200|$49.300|$46.400|$43.500
Q904|Chaqueta tipo piloto cuello alpinista acolchada con forro sobrepuesto con cremallera removible y Fleece. Bordado pecho y espalda logos Transmilenio.|Tempestad||$85.000|$170.000|$164.900|$161.500|$153.000|$144.500|$136.000|$127.500
Q905E|Chaqueta acolchada, cuello alpinista con capota y guarda capota, forro seda, Reflectivo 2 Clase I  en mangas y cintura Modelo Codensa. Mangas Abatibles (Tallas XS a XL)|Serrosport||$30.000|$60.000|$58.200|$57.000|$54.000|$51.000|$48.000|$45.000
Q905Z|Chaqueta acolchada, cuello alpinista con capota y guarda capota, forro seda, Reflectivo 2 Clase I  en mangas y cintura Modelo Codensa. Mangas Abatibles (Tallas XS a XL)|Vendaval||$49.000|$98.000|$95.060|$93.100|$88.200|$83.300|$78.400|$73.500
Q906|Blazer clásico Dama o Caballero |Vertigo||$70.000|$140.000|$135.800|$133.000|$126.000|$119.000|$112.000|$105.000
Q906CF|Blazer clásico Dama o Caballero |Confort flex||$43.502|$87.003|$84.393|$82.653|$78.303|$73.953|$69.603|$65.253
Q907BT|Chaqueta YES, mangas abatibles cuello alpinista 5 bolsillos: 2 de cremallera internos y 3 tipo Parche . Forro Fleece y Guata prensada (Tallas XS a XL) Incluye 1 Bordado tamaño pecho y 1 Bordado tamaño espalda|Boston||$41.500|$83.000|$80.510|$78.850|$74.700|$70.550|$66.400|$62.250
Q907OR|Chaqueta YES, mangas abatibles cuello alpinista 5 bolsillos: 2 de cremallera internos y 3 tipo Parche . Forro Fleece y Guata prensada (Tallas XS a XL) Incluye 1 Bordado tamaño pecho y 1 Bordado tamaño espalda|Orión lafayette||$53.300|$106.600|$103.402|$101.270|$95.940|$90.610|$85.280|$79.950
Q908D|Chaqueta combinada dos colores, cuello militar, tapacremallera con broche delgado, con costadillo y coderas. Pretina con resorte. |Dril|22/07/2015|$50.000|$100.000|97000|95000|90000|85000|80000|75000
Q909|Chaqueta deportiva unisex manga ranglan, corte en   manga con la bandera de Bogotá y costadillos  rojos ,bolsillos verticalesde ribete con cremallera en frontal delantero y axilar color amarilla, encauchado en mangas y cordón de caucho ajustable en cintura, cremallera amarilla en frontal delantero, pechera para cubrir cremallera color rojo , capota desde cuello con visera color amarillo. Estampados de espalda en re ectivo y los logotipos bordados.Vivos entre cortes y borde de capota en reflectivo.|vendabal|03/08/2015|$65.000|$130.000|126100|123500|117000|110500|104000|97500
Q910LP|Chaqueta  tipo  ejecutivo bi-color en  paño liverpol , con forro  satinado  con  cuello, puños  y  pretina   en   rib con  franjas, logo  bordado, en  pecho,  bolsillos diagonales de  ribete  de  seguridad  y  broches en  frente a  tono.|fayette|17/09/2015|$120.000|$240.000|232800|228000|216000|204000|192000|180000
PANTALONES|P||||||||||
P001D|Pantalon clásico tipo jean 5 bolsillos (Tallas 6 a 14 y 28 a 38|Dril||$22.000|$44.000|$42.680|$41.800|$39.600|$37.400|$35.200|$33.000
P001DS|Pantalon  clásico tipo jean 5 bolsillos (Tallas 6 a 14)|Dril  Stresh||$26.340|$52.680|$51.100|$50.046|$47.412|$44.778|$42.144|$39.510
P001H|Pantalon clásico jean 5 bolsillos (Tallas 6 a 14 y 28 a 38)|Indigo 14 Oz|29/03/2016|$19.000|$38.000|$36.860|$36.100|$34.200|$32.300|$30.400|$28.500
P001H_10|Pantalon clásico jean 5 bolsillos (Tallas 6 a 14 y 28 a 38) Bordado Incluido|Indigo 14 Oz|29/03/2016|$21.750|$43.500|$42.195|$41.325|$39.150|$36.975|$34.800|$32.625
P001HC1|Pantalon clásico jean 5 bolsillos En cada bota,  una cinta reflectiva de 2 en tela (Tallas 6 a 14 y 28 a 38)|Indigo 14 Oz|29/03/2016|$23.000|$46.000|$44.620|$43.700|$41.400|$39.100|$36.800|$34.500
P001H_4|Pantalon clásico jean 5 bolsillos (Tallas 16 a 20 y 40 a 44)|Indigo 14 Oz|29/03/2016|$20.000|$40.000|$38.800|$38.000|$36.000|$34.000|$32.000|$30.000
P001HI|Pantalon clásico jean 5 bolsillos tipo ingeniero  (Tallas 6 a 14 y 28 a 38)|Indigo 14 Oz|29/03/2016|$20.000|$40.000|$38.800|$38.000|$36.000|$34.000|$32.000|$30.000
P001HL|Pantalon clásico para dama en Jean Lycrado (Tallas 6 a 14)|Indigo Lycrado|29/03/2016|$23.000|$46.000||||||
P001HN|Pantalon clásico jean 5 bolsillos (Tallas 6 a 14 y 28 a 38)|Indigo 14 Oz Color Negro|29/03/2016|$19.000|$38.000|$36.860|$36.100|$34.200|$32.300|$30.400|$28.500
P001SRE|Pantalon clásico tipo jean 5 bolsillos pretina resortada (Tallas 6 a 14 y 28 a 38|Dril||$22.000|$44.000|$42.680|$41.800|$39.600|$37.400|$35.200|$33.000
P001H_C|Pantalon jean diseño moda 5 bolsillos (Tallas 6 a 14 y 28 a 38)|Indigo 14 Oz|22/08/2015|$21.552|$43.103|$41.810|$40.948|$38.793|$36.638|$34.483|$32.328
P002H|Pantalon clásico jean 5 bolsillos dieléctrico (Tallas 6 a 14 y 28 a 40)|Indigo 14 Oz|29/03/2016|$20.000|$40.000|$38.800|$38.000|$36.000|$34.000|$32.000|$30.000
P003AS|Pantalon formal clásico 4 bolsillos (Tallas 6 a 14 y 28 a 38)|Alviero Strech (Lafayette)|24/02/2016|$27.500|$55.000|$53.350|$52.250|$49.500|$46.750|$44.000|$41.250
P003D|Pantalon formal clásico 4 bolsillos (Tallas 6 a 14 y 28 a 38)|Dril Praga||$22.500|$45.000|$43.650|$42.750|$40.500|$38.250|$36.000|$33.750
P003G|Pantalon formal clásico 4 bolsillos (Tallas 6 a 14 y 28 a 38)|Gabardina Diagonal||$19.000|$38.000|$36.860|$36.100|$34.200|$32.300|$30.400|$28.500
P003G_4|Pantalon formal clásico 4 bolsillos (Tallas 16 a 20 y 40 a 44)|G. Diagonal||$21.000|$42.000|$40.740|$39.900|$37.800|$35.700|$33.600|$31.500
P003GT|Pantalon formal clásico 4 bolsillos (Tallas 6 a 14 y 28 a 38)|Gabardina tempo ||$21.000|$42.000|$40.740|$39.900|$37.800|$35.700|$33.600|$31.500
P003K|Pantalon formal clásico 4 bolsillos (Tallas 16 a 20 y 40 a 44)|Dacron||$15.200|$30.400|$29.488|$28.880|$27.360|$25.840|$24.320|$22.800
P003L|Pantalon formal clásico 4 bolsillos (Con o sin franja Lateral) (Tallas 6 a 14 y 28 a 38)|Linoflex|24/02/2016|$18.500|$37.000|$35.890|$35.150|$33.300|$31.450|$29.600|$27.750
P003NS|Pantalon formal clásico 4 bolsillos (Tallas 6 a 14 y 28 a 38)|Novastretch||$24.800|$49.600|$48.112|$47.120|$44.640|$42.160|$39.680|$37.200
P003SX|Pantalon formal clásico 4 bolsillos (Tallas 6 a 14 y 28 a 38)|Bases Sutex (Mínimo 20  por color)||$22.200|$44.400|$43.068|$42.180|$39.960|$37.740|$35.520|$33.300
P003T|Pantalon formal clásico 4 bolsillos (Tallas 6 a 14 y 28 a 38)|Bases Lafayette||$33.000|$66.000|$64.020|$62.700|$59.400|$56.100|$52.800|$49.500
P003VL|Pantalon formal clásico 4 bolsillos (Tallas 6 a 14 y 28 a 38)|Vertigo/ Lisboa||$22.200|$44.400|$43.068|$42.180|$39.960|$37.740|$35.520|$33.300
P004BG|Pantalón de dama clásico pretina anatómica sin bolsillos (Tallas 6 a 14)|Albizia ||$20.600|$41.200||||||
P004CF|Pantalón de dama clásico pretina anatómica sin bolsillos (Tallas 6 a 14)|Confort Flex||$17.500|$35.000|$33.950|$33.250|$31.500|$29.750|$28.000|$26.250
P004L|Pantalón de dama clásico pretina anatómica sin bolsillos (Tallas 6 a 14)|Linoflex|24/02/2016|$18.500|$37.000|$35.890|$35.150|$33.300|$31.450|$29.600|$27.750
P004SX|Pantalón de dama clásico pretina anatómica sin bolsillos (Tallas 6 a 14)|Florence||$17.600|$35.200||||||
P004T|Pantalón de dama clásico pretina anatómica sin bolsillos (Tallas 6 a 14)|Bases Lafayette||$31.000|$62.000|$60.140|$58.900|$55.800|$52.700|$49.600|$46.500
P004VL|Pantalón de dama clásico pretina anatómica sin bolsillos (Tallas 6 a 14)|Vertigo/ Lisboa||$20.200|$40.400|$39.188|$38.380|$36.360|$34.340|$32.320|$30.300
P005CP|Pantalon térmico forrado y acolchado cuarto frio T° entre -25°C hasta -35°C (Congelación) , 2 bolsillos, ajuste en botas con cremallera (Tallas XS a XL)|Campero||$44.000|$88.000|$85.360|$83.600|$79.200|$74.800|$70.400|$66.000
P005I|Pantalon térmico forrado y acolchado cuarto frio T° hasta 0°C (Conservación, Precava), 2 bolsillos, ajuste en botas con cremallera (Tallas XS a XL)|Impermeable ||$30.250|$60.500|$58.685|$57.475|$54.450|$51.425|$48.400|$45.375
P005ZC|Pantalon térmico forrado y acolchado cuarto frio T° entre 0°C hasta -25°C (Refrigeración), 2 bolsillos, ajuste en botas con cremallera (Tallas XS a XL)|Vendaval Crushed||$39.000|$78.000|$75.660|$74.100|$70.200|$66.300|$62.400|$58.500
